datum	Dela prost dan	Šolske Počitnice	pov	padavine	sneg
2012-01-01	1		1.4		
2012-01-02	1		5.3		
2012-01-03			5.8	22.7	d
2012-01-04			5.9	1.7	d
2012-01-05			4.7	0.2	d
2012-01-06			4.7	0.0	
2012-01-07			2.7		
2012-01-08			2.7		
2012-01-09			3.7		
2012-01-10			3.0		
2012-01-11			1.5	0.0	
2012-01-12			3.0		
2012-01-13			2.2		
2012-01-14			2.2		
2012-01-15			-1.1		
2012-01-16			-3.2		
2012-01-17			-0.7		
2012-01-18			-0.7		
2012-01-19			3.0		
2012-01-20			2.3		
2012-01-21			0.1	1.4	d
2012-01-22			7.8		
2012-01-23			5.9		
2012-01-24			2.9	0.0	
2012-01-25			-0.3	2.3	s
2012-01-26			-1.8		
2012-01-27			-2.2		
2012-01-28			-1.3		
2012-01-29			-1.7		
2012-01-30			-2.0	0.1	s
2012-01-31			-4.7		
2012-02-01			-3.2	0.0	
2012-02-02			-5.8	0.0	
2012-02-03			-7.6	0.0	
2012-02-04			-8.3	0.1	s
2012-02-05			-9.0	0.5	s
2012-02-06			-8.8	0.0	
2012-02-07			-6.1	0.3	s
2012-02-08	1		-5.7	0.1	s
2012-02-09			-6.7		
2012-02-10			-7.1		
2012-02-11			-7.9	0.1	s
2012-02-12			-7.5	0.7	s
2012-02-13			-5.0	3.2	s
2012-02-14			-5.6		
2012-02-15			-1.1		
2012-02-16			3.8	0.0	
2012-02-17			2.5		
2012-02-18			3.7		
2012-02-19			4.2		
2012-02-20		1	1.3	17.4	s
2012-02-21		1	1.6	0.8	s
2012-02-22		1	1.9		
2012-02-23		1	4.7		
2012-02-24		1	10.1	0.0	
2012-02-25			9.8		
2012-02-26			6.9		
2012-02-27			3.8	0.0	
2012-02-28			5.3		
2012-02-29			11.4		
2012-03-01			9.8		
2012-03-02			10.2		
2012-03-03			7.2		
2012-03-04			6.6		
2012-03-05			6.7		
2012-03-06			5.2		
2012-03-07			2.8		
2012-03-08			6.0		
2012-03-09			6.5		
2012-03-10			6.0		
2012-03-11			8.1		
2012-03-12			8.9		
2012-03-13			9.5		
2012-03-14			10.0		
2012-03-15			7.7		
2012-03-16			11.4		
2012-03-17			11.4		
2012-03-18			11.8		
2012-03-19			9.9	0.1	d
2012-03-20			11.1	21.8	d
2012-03-21			11.9		
2012-03-22			13.2		
2012-03-23			13.8		
2012-03-24			13.8		
2012-03-25			13.5	0.5	d
2012-03-26			12.1		
2012-03-27			12.0		
2012-03-28			15.2		
2012-03-29			15.1		
2012-03-30			14.0		
2012-03-31			12.7		
2012-04-01			6.2	6.1	d
2012-04-02			9.3	0.1	d
2012-04-03			11.6		
2012-04-04			13.5	2.9	d
2012-04-05			13.5	2.2	d
2012-04-06			13.7	5.9	d
2012-04-07			9.9	17.6	d
2012-04-08	1		4.0	26.6	d
2012-04-09	1		5.2	2.0	s
2012-04-10			8.6		
2012-04-11			8.6		
2012-04-12			10.7	9.6	d
2012-04-13			10.5	0.1	d
2012-04-14			10.8	0.1	d
2012-04-15			10.5	0.6	d
2012-04-16			10.7	7.6	d
2012-04-17			9.4	0.3	d
2012-04-18			10.0		
2012-04-19			10.5	0.6	d
2012-04-20			9.0	1.2	d
2012-04-21			11.2	13.3	d
2012-04-22			8.7	1.4	d
2012-04-23			9.3	17.1	d
2012-04-24			9.8	2.1	d
2012-04-25			13.0	10.2	d
2012-04-26			14.8	0.1	d
2012-04-27	1		19.1		
2012-04-28			20.7		
2012-04-29			20.4		
2012-04-30		1	20.0		
2012-05-01	1	1	18.5	0.1	d
2012-05-02	1	1	18.5	5.8	d
2012-05-03		1	17.7	4.2	d
2012-05-04		1	17.0		
2012-05-05			16.4		
2012-05-06			14.1	0.8	d
2012-05-07			12.8	19.7	d
2012-05-08			16.7	8.0	d
2012-05-09			19.1		
2012-05-10			19.7		
2012-05-11			21.2		
2012-05-12			20.5		
2012-05-13			8.3	41.3	d
2012-05-14			12.0		
2012-05-15			14.1		
2012-05-16			7.8	2.9	d
2012-05-17			12.6	9.0	d
2012-05-18			13.1		
2012-05-19			16.2		
2012-05-20			17.7		
2012-05-21			13.7	4.7	d
2012-05-22			13.1	17.4	d
2012-05-23			17.0	4.2	d
2012-05-24			18.4	3.7	d
2012-05-25			16.8	1.7	d
2012-05-26			15.2	0.0	
2012-05-27	1		17.8		
2012-05-28			17.4	0.3	d
2012-05-29			18.2	0.5	d
2012-05-30			19.5	0.0	
2012-05-31			19.0	0.1	d
2012-06-01			20.3	2.1	d
